timestamp,yes_bid,yes_ask,last_price,outcome
2026-04-21T20:15:10.110324+00:00,46,50,46,YES
2026-04-21T20:15:15.121692+00:00,43,45,44,YES
2026-04-21T20:15:20.096413+00:00,43,45,44,YES
2026-04-21T20:15:25.201711+00:00,41,43,42,YES
2026-04-21T20:15:30.125907+00:00,41,43,42,YES
2026-04-21T20:15:35.158316+00:00,40,41,41,YES
2026-04-21T20:15:40.154012+00:00,40,41,41,YES
2026-04-21T20:15:45.145354+00:00,36,37,37,YES
2026-04-21T20:15:50.185241+00:00,36,37,37,YES
2026-04-21T20:15:55.252327+00:00,35,36,36,YES
2026-04-21T20:16:00.208896+00:00,35,36,36,YES
2026-04-21T20:16:05.147124+00:00,30,31,30,YES
2026-04-21T20:16:10.189065+00:00,30,31,30,YES
2026-04-21T20:16:15.225480+00:00,32,33,32,YES
2026-04-21T20:16:20.172554+00:00,32,33,32,YES
2026-04-21T20:16:25.274109+00:00,33,34,34,YES
2026-04-21T20:16:30.212999+00:00,33,34,34,YES
2026-04-21T20:16:35.202665+00:00,32,33,33,YES
2026-04-21T20:16:40.309291+00:00,32,33,33,YES
2026-04-21T20:16:45.229047+00:00,35,36,35,YES
2026-04-21T20:16:50.268955+00:00,35,36,35,YES
2026-04-21T20:16:55.241108+00:00,44,45,46,YES
2026-04-21T20:17:00.239506+00:00,44,45,46,YES
2026-04-21T20:17:05.236527+00:00,47,49,47,YES
2026-04-21T20:17:10.272436+00:00,47,49,47,YES
2026-04-21T20:17:15.273020+00:00,51,52,51,YES
2026-04-21T20:17:20.249508+00:00,51,52,51,YES
2026-04-21T20:17:25.276952+00:00,54,55,53,YES
2026-04-21T20:17:30.291415+00:00,54,55,53,YES
2026-04-21T20:17:35.276170+00:00,55,56,55,YES
2026-04-21T20:17:40.311091+00:00,55,56,55,YES
2026-04-21T20:17:45.334560+00:00,59,60,60,YES
2026-04-21T20:17:50.279876+00:00,59,60,60,YES
2026-04-21T20:17:55.302948+00:00,58,60,59,YES
2026-04-21T20:18:00.296826+00:00,58,60,59,YES
2026-04-21T20:18:05.325197+00:00,55,57,57,YES
2026-04-21T20:18:10.337725+00:00,55,57,57,YES
2026-04-21T20:18:15.317715+00:00,54,55,54,YES
2026-04-21T20:18:20.317488+00:00,54,55,54,YES
2026-04-21T20:18:25.336506+00:00,61,62,62,YES
2026-04-21T20:18:30.329506+00:00,61,62,62,YES
2026-04-21T20:18:35.314865+00:00,57,58,58,YES
2026-04-21T20:18:40.558887+00:00,57,58,58,YES
2026-04-21T20:18:45.354129+00:00,49,51,50,YES
2026-04-21T20:18:50.337028+00:00,49,51,50,YES
2026-04-21T20:18:55.378326+00:00,42,43,43,YES
2026-04-21T20:19:00.368754+00:00,42,43,43,YES
2026-04-21T20:19:05.405854+00:00,44,45,46,YES
2026-04-21T20:19:10.404812+00:00,44,45,46,YES
2026-04-21T20:19:15.576839+00:00,46,47,47,YES
2026-04-21T20:19:20.669575+00:00,46,47,47,YES
2026-04-21T20:19:25.407238+00:00,47,48,47,YES
2026-04-21T20:19:30.386253+00:00,47,48,47,YES
2026-04-21T20:19:35.373669+00:00,49,50,49,YES
2026-04-21T20:19:40.427121+00:00,49,50,49,YES
2026-04-21T20:19:45.408295+00:00,48,49,48,YES
2026-04-21T20:19:50.384448+00:00,48,49,48,YES
2026-04-21T20:19:55.449913+00:00,40,41,41,YES
2026-04-21T20:20:00.410690+00:00,40,41,41,YES
2026-04-21T20:20:05.412202+00:00,40,41,40,YES
2026-04-21T20:20:10.446969+00:00,40,41,40,YES
2026-04-21T20:20:15.435310+00:00,45,46,45,YES
2026-04-21T20:20:20.597492+00:00,45,46,45,YES
2026-04-21T20:20:25.515729+00:00,49,50,50,YES
2026-04-21T20:20:30.450949+00:00,49,50,50,YES
2026-04-21T20:20:35.450890+00:00,53,54,53,YES
2026-04-21T20:20:40.499577+00:00,53,54,53,YES
2026-04-21T20:20:45.539201+00:00,58,59,59,YES
2026-04-21T20:20:50.512751+00:00,58,59,59,YES
2026-04-21T20:20:55.521381+00:00,62,63,63,YES
2026-04-21T20:21:00.540503+00:00,62,63,63,YES
2026-04-21T20:21:05.528766+00:00,60,61,61,YES
2026-04-21T20:21:10.531710+00:00,60,61,61,YES
2026-04-21T20:21:15.536618+00:00,55,56,55,YES
2026-04-21T20:21:20.530147+00:00,55,56,55,YES
2026-04-21T20:21:25.580927+00:00,56,57,56,YES
2026-04-21T20:21:30.614577+00:00,56,57,56,YES
2026-04-21T20:21:35.588918+00:00,45,46,45,YES
2026-04-21T20:21:40.569305+00:00,45,46,45,YES
2026-04-21T20:21:45.564891+00:00,51,52,51,YES
2026-04-21T20:21:50.567512+00:00,51,52,51,YES
2026-04-21T20:21:55.622962+00:00,45,46,46,YES
2026-04-21T20:22:00.584999+00:00,45,46,46,YES
2026-04-21T20:22:05.650717+00:00,46,47,46,YES
2026-04-21T20:22:10.646827+00:00,46,47,46,YES
2026-04-21T20:22:15.632753+00:00,51,52,51,YES
2026-04-21T20:22:20.637016+00:00,51,52,51,YES
2026-04-21T20:22:25.639094+00:00,52,53,52,YES
2026-04-21T20:22:30.639956+00:00,52,53,52,YES
2026-04-21T20:22:35.627371+00:00,53,55,55,YES
2026-04-21T20:22:40.660824+00:00,53,55,55,YES
2026-04-21T20:22:45.650209+00:00,57,58,58,YES
2026-04-21T20:22:50.654621+00:00,57,58,58,YES
2026-04-21T20:22:55.724651+00:00,58,59,59,YES
2026-04-21T20:23:00.716991+00:00,58,59,59,YES
2026-04-21T20:23:05.684294+00:00,59,61,62,YES
2026-04-21T20:23:10.721639+00:00,59,61,62,YES
2026-04-21T20:23:15.739481+00:00,63,65,63,YES
2026-04-21T20:23:20.701472+00:00,63,65,63,YES
2026-04-21T20:23:25.711177+00:00,59,60,60,YES
2026-04-21T20:23:30.923653+00:00,59,60,60,YES
2026-04-21T20:23:35.707249+00:00,59,60,59,YES
2026-04-21T20:23:40.743722+00:00,59,60,59,YES
2026-04-21T20:23:45.743025+00:00,60,61,61,YES
2026-04-21T20:23:50.769493+00:00,60,61,61,YES
2026-04-21T20:23:55.770520+00:00,59,61,60,YES
2026-04-21T20:24:00.753189+00:00,59,61,60,YES
2026-04-21T20:24:05.744745+00:00,60,61,61,YES
2026-04-21T20:24:10.873704+00:00,60,61,61,YES
2026-04-21T20:24:15.823890+00:00,65,66,65,YES
2026-04-21T20:24:20.768743+00:00,65,66,65,YES
2026-04-21T20:24:25.794059+00:00,67,68,68,YES
2026-04-21T20:24:30.803340+00:00,67,68,68,YES
2026-04-21T20:24:35.776072+00:00,68,70,70,YES
2026-04-21T20:24:40.822275+00:00,68,70,70,YES
2026-04-21T20:24:45.823631+00:00,72,73,72,YES
2026-04-21T20:24:50.820014+00:00,72,73,72,YES
2026-04-21T20:24:55.889212+00:00,84,85,85,YES
2026-04-21T20:25:00.850454+00:00,84,85,85,YES
2026-04-21T20:25:05.861317+00:00,81,82,82,YES
2026-04-21T20:25:10.877617+00:00,81,82,82,YES
2026-04-21T20:25:16.038532+00:00,85,87,85,YES
2026-04-21T20:25:20.860967+00:00,85,87,85,YES
2026-04-21T20:25:25.891074+00:00,88,89,88,YES
2026-04-21T20:25:30.961859+00:00,88,89,88,YES
2026-04-21T20:25:35.877982+00:00,92,93,92,YES
2026-04-21T20:25:40.874700+00:00,92,93,92,YES
2026-04-21T20:25:45.867150+00:00,92,92,92,YES
2026-04-21T20:25:50.925744+00:00,92,92,92,YES
2026-04-21T20:25:55.902725+00:00,92,94,92,YES
2026-04-21T20:26:00.939231+00:00,92,94,92,YES
2026-04-21T20:26:05.896383+00:00,93,95,93,YES
2026-04-21T20:26:10.939094+00:00,93,95,93,YES
2026-04-21T20:26:15.905306+00:00,94,94,94,YES
2026-04-21T20:26:21.004333+00:00,94,94,94,YES
2026-04-21T20:26:25.949051+00:00,95,96,95,YES
2026-04-21T20:26:30.916836+00:00,95,96,95,YES
