timestamp,yes_bid,yes_ask,last_price,outcome
2026-04-21T19:45:42.764721+00:00,67,70,68,YES
2026-04-21T19:45:47.733324+00:00,67,70,68,YES
2026-04-21T19:45:52.769229+00:00,69,72,72,YES
2026-04-21T19:45:57.760098+00:00,69,72,72,YES
2026-04-21T19:46:02.716436+00:00,67,71,71,YES
2026-04-21T19:46:07.798578+00:00,67,71,71,YES
2026-04-21T19:46:12.817710+00:00,67,71,71,YES
2026-04-21T19:46:17.804964+00:00,67,71,71,YES
2026-04-21T19:46:22.849649+00:00,61,64,67,YES
2026-04-21T19:46:27.827371+00:00,61,64,67,YES
2026-04-21T19:46:32.768123+00:00,58,63,61,YES
2026-04-21T19:46:37.927696+00:00,58,63,61,YES
2026-04-21T19:46:42.827318+00:00,63,65,64,YES
2026-04-21T19:46:47.794589+00:00,63,65,64,YES
2026-04-21T19:46:52.870451+00:00,53,56,54,YES
2026-04-21T19:46:57.821623+00:00,53,56,54,YES
2026-04-21T19:47:02.819165+00:00,60,63,62,YES
2026-04-21T19:47:07.979724+00:00,60,63,62,YES
2026-04-21T19:47:12.881049+00:00,60,64,63,YES
2026-04-21T19:47:17.859454+00:00,60,64,63,YES
2026-04-21T19:47:22.941742+00:00,68,73,73,YES
2026-04-21T19:47:27.985352+00:00,68,73,73,YES
2026-04-21T19:47:32.901606+00:00,73,77,66,YES
2026-04-21T19:47:37.927038+00:00,73,77,66,YES
2026-04-21T19:47:42.942658+00:00,76,79,79,YES
2026-04-21T19:47:47.931044+00:00,76,79,79,YES
2026-04-21T19:47:52.942397+00:00,82,83,82,YES
2026-04-21T19:47:58.204497+00:00,82,83,82,YES
2026-04-21T19:48:02.966802+00:00,77,81,79,YES
2026-04-21T19:48:08.014334+00:00,77,81,79,YES
2026-04-21T19:48:13.014660+00:00,77,85,77,YES
2026-04-21T19:48:18.307553+00:00,77,85,77,YES
2026-04-21T19:48:23.020843+00:00,81,83,83,YES
2026-04-21T19:48:27.980278+00:00,81,83,83,YES
2026-04-21T19:48:32.969883+00:00,84,86,84,YES
2026-04-21T19:48:38.043640+00:00,84,86,84,YES
2026-04-21T19:48:42.987845+00:00,78,82,81,YES
2026-04-21T19:48:48.005776+00:00,78,82,81,YES
2026-04-21T19:48:53.016055+00:00,78,83,83,YES
2026-04-21T19:48:58.036494+00:00,78,83,83,YES
2026-04-21T19:49:03.095735+00:00,78,82,82,YES
2026-04-21T19:49:08.045641+00:00,78,82,82,YES
2026-04-21T19:49:13.036069+00:00,77,80,79,YES
