timestamp,yes_bid,yes_ask,last_price,outcome
2026-04-22T00:30:21.571525+00:00,55,57,57,YES
2026-04-22T00:30:26.518052+00:00,54,55,54,YES
2026-04-22T00:30:31.661361+00:00,54,55,54,YES
2026-04-22T00:30:36.552414+00:00,56,58,56,YES
2026-04-22T00:30:41.578745+00:00,56,58,56,YES
2026-04-22T00:30:46.571092+00:00,52,53,52,YES
2026-04-22T00:30:51.589835+00:00,52,53,52,YES
2026-04-22T00:30:56.574607+00:00,47,48,48,YES
2026-04-22T00:31:01.619937+00:00,47,48,48,YES
2026-04-22T00:31:06.638726+00:00,51,52,51,YES
2026-04-22T00:31:11.577219+00:00,51,52,51,YES
2026-04-22T00:31:16.650988+00:00,52,53,52,YES
2026-04-22T00:31:21.689477+00:00,52,53,52,YES
2026-04-22T00:31:26.598325+00:00,49,51,51,YES
2026-04-22T00:31:31.671376+00:00,49,51,51,YES
2026-04-22T00:31:36.670261+00:00,50,51,51,YES
2026-04-22T00:31:41.584078+00:00,50,51,51,YES
2026-04-22T00:31:46.662413+00:00,57,58,57,YES
2026-04-22T00:31:51.653375+00:00,57,58,57,YES
2026-04-22T00:31:56.623403+00:00,57,58,58,YES
2026-04-22T00:32:01.685150+00:00,57,58,58,YES
2026-04-22T00:32:06.702476+00:00,56,57,55,YES
2026-04-22T00:32:11.656992+00:00,56,57,55,YES
2026-04-22T00:32:16.702826+00:00,50,52,51,YES
2026-04-22T00:32:21.705751+00:00,50,52,51,YES
2026-04-22T00:32:26.647082+00:00,49,51,50,YES
2026-04-22T00:32:31.703404+00:00,49,51,50,YES
2026-04-22T00:32:36.696946+00:00,56,57,57,YES
2026-04-22T00:32:41.635807+00:00,56,57,57,YES
2026-04-22T00:32:46.852349+00:00,51,52,52,YES
2026-04-22T00:32:51.699348+00:00,51,52,52,YES
2026-04-22T00:32:56.642027+00:00,52,53,52,YES
2026-04-22T00:33:01.700261+00:00,52,53,52,YES
2026-04-22T00:33:06.715654+00:00,55,56,57,YES
2026-04-22T00:33:11.656303+00:00,55,56,57,YES
2026-04-22T00:33:16.756714+00:00,53,54,52,YES
2026-04-22T00:33:21.770137+00:00,53,54,52,YES
2026-04-22T00:33:26.680838+00:00,54,55,54,YES
2026-04-22T00:33:31.744302+00:00,54,55,54,YES
2026-04-22T00:33:36.767966+00:00,57,58,58,YES
2026-04-22T00:33:41.720183+00:00,57,58,58,YES
2026-04-22T00:33:46.751274+00:00,56,57,56,YES
2026-04-22T00:33:51.741274+00:00,56,57,56,YES
2026-04-22T00:33:56.819748+00:00,59,60,60,YES
2026-04-22T00:34:01.754774+00:00,59,60,60,YES
2026-04-22T00:34:06.754496+00:00,42,43,43,YES
2026-04-22T00:34:11.676737+00:00,42,43,43,YES
2026-04-22T00:34:16.803721+00:00,39,40,40,YES
2026-04-22T00:34:21.814403+00:00,39,40,40,YES
2026-04-22T00:34:26.722270+00:00,38,39,39,YES
2026-04-22T00:34:31.820185+00:00,38,39,39,YES
2026-04-22T00:34:36.762766+00:00,37,38,38,YES
2026-04-22T00:34:41.737369+00:00,37,38,38,YES
2026-04-22T00:34:46.784648+00:00,37,38,37,YES
2026-04-22T00:34:51.788329+00:00,37,38,37,YES
2026-04-22T00:34:57.167986+00:00,38,39,38,YES
2026-04-22T00:35:01.984417+00:00,38,39,38,YES
2026-04-22T00:35:06.816236+00:00,41,43,43,YES
2026-04-22T00:35:11.795322+00:00,41,43,43,YES
2026-04-22T00:35:16.820509+00:00,42,43,42,YES
2026-04-22T00:35:21.813021+00:00,42,43,42,YES
2026-04-22T00:35:26.793853+00:00,40,41,41,YES
2026-04-22T00:35:31.807547+00:00,40,41,41,YES
2026-04-22T00:35:36.782486+00:00,37,38,38,YES
2026-04-22T00:35:41.785775+00:00,37,38,38,YES
2026-04-22T00:35:46.850215+00:00,39,40,40,YES
2026-04-22T00:35:51.845319+00:00,39,40,40,YES
2026-04-22T00:35:56.756370+00:00,39,40,40,YES
2026-04-22T00:36:01.838377+00:00,39,40,40,YES
2026-04-22T00:36:06.842652+00:00,46,47,46,YES
2026-04-22T00:36:11.842875+00:00,46,47,46,YES
2026-04-22T00:36:16.845738+00:00,31,32,32,YES
2026-04-22T00:36:21.828591+00:00,31,32,32,YES
2026-04-22T00:36:26.793551+00:00,33,34,34,YES
2026-04-22T00:36:31.877691+00:00,33,34,34,YES
2026-04-22T00:36:36.876065+00:00,30,31,31,YES
2026-04-22T00:36:41.857274+00:00,30,31,31,YES
2026-04-22T00:36:46.884280+00:00,30,31,31,YES
2026-04-22T00:36:51.916168+00:00,30,31,31,YES
2026-04-22T00:36:56.818463+00:00,19,21,21,YES
2026-04-22T00:37:01.922056+00:00,19,21,21,YES
2026-04-22T00:37:06.925967+00:00,30,31,32,YES
2026-04-22T00:37:11.851818+00:00,30,31,32,YES
2026-04-22T00:37:16.957552+00:00,32,33,33,YES
2026-04-22T00:37:21.918412+00:00,32,33,33,YES
2026-04-22T00:37:26.829947+00:00,23,24,24,YES
2026-04-22T00:37:31.907182+00:00,23,24,24,YES
2026-04-22T00:37:36.906483+00:00,28,29,27,YES
2026-04-22T00:37:41.903006+00:00,28,29,27,YES
2026-04-22T00:37:46.922405+00:00,41,42,41,YES
2026-04-22T00:37:51.949183+00:00,41,42,41,YES
2026-04-22T00:37:56.917828+00:00,58,59,58,YES
2026-04-22T00:38:01.935774+00:00,58,59,58,YES
2026-04-22T00:38:06.976838+00:00,59,60,59,YES
2026-04-22T00:38:11.878602+00:00,59,60,59,YES
2026-04-22T00:38:16.938784+00:00,62,63,63,YES
2026-04-22T00:38:21.924748+00:00,62,63,63,YES
2026-04-22T00:38:26.886936+00:00,51,52,53,YES
2026-04-22T00:38:31.957286+00:00,51,52,53,YES
2026-04-22T00:38:36.929744+00:00,51,52,52,YES
2026-04-22T00:38:41.975339+00:00,51,52,52,YES
2026-04-22T00:38:46.977207+00:00,55,56,57,YES
2026-04-22T00:38:52.020410+00:00,55,56,57,YES
2026-04-22T00:38:56.921240+00:00,52,53,52,YES
2026-04-22T00:39:01.984937+00:00,52,53,52,YES
2026-04-22T00:39:06.963779+00:00,55,56,55,YES
2026-04-22T00:39:11.888939+00:00,55,56,55,YES
2026-04-22T00:39:16.977672+00:00,69,70,69,YES
2026-04-22T00:39:21.956847+00:00,69,70,69,YES
2026-04-22T00:39:26.936794+00:00,62,63,62,YES
2026-04-22T00:39:31.999906+00:00,62,63,62,YES
2026-04-22T00:39:36.975257+00:00,59,61,59,YES
2026-04-22T00:39:41.928419+00:00,59,61,59,YES
2026-04-22T00:39:46.986321+00:00,77,78,77,YES
2026-04-22T00:39:52.056790+00:00,77,78,77,YES
2026-04-22T00:39:56.968358+00:00,79,80,79,YES
2026-04-22T00:40:02.043373+00:00,79,80,79,YES
2026-04-22T00:40:06.963627+00:00,91,92,91,YES
2026-04-22T00:40:11.941233+00:00,91,92,91,YES
2026-04-22T00:40:17.077655+00:00,94,95,94,YES
2026-04-22T00:40:22.034069+00:00,94,95,94,YES
2026-04-22T00:40:26.949114+00:00,94,96,96,YES
2026-04-22T00:40:32.096715+00:00,94,96,96,YES
2026-04-22T00:40:37.002717+00:00,95,96,95,YES
2026-04-22T00:40:41.978938+00:00,95,96,95,YES
2026-04-22T00:40:47.033298+00:00,93,94,93,YES
2026-04-22T00:40:52.039161+00:00,93,94,93,YES
2026-04-22T00:40:56.982918+00:00,89,90,90,YES
2026-04-22T00:41:02.058494+00:00,89,90,90,YES
2026-04-22T00:41:07.029292+00:00,87,88,88,YES
2026-04-22T00:41:11.968844+00:00,87,88,88,YES
2026-04-22T00:41:17.033565+00:00,73,74,74,YES
2026-04-22T00:41:22.032572+00:00,73,74,74,YES
2026-04-22T00:41:26.974794+00:00,77,78,78,YES
2026-04-22T00:41:32.117407+00:00,77,78,78,YES
2026-04-22T00:41:37.073987+00:00,64,65,65,YES
2026-04-22T00:41:42.235352+00:00,64,65,65,YES
2026-04-22T00:41:47.254784+00:00,66,67,67,YES
2026-04-22T00:41:52.038652+00:00,66,67,67,YES
2026-04-22T00:41:57.016127+00:00,66,67,67,YES
2026-04-22T00:42:02.096549+00:00,66,67,67,YES
2026-04-22T00:42:07.101192+00:00,77,78,77,YES
2026-04-22T00:42:12.058905+00:00,77,78,77,YES
2026-04-22T00:42:17.167195+00:00,79,80,79,YES
2026-04-22T00:42:22.074677+00:00,79,80,79,YES
